,Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
0,Jan 2011,26,"2,743,350","105,513","81,000",336,8.2
1,Feb 2011,28,"3,356,000","119,857","107,500",332,8.0
2,Mar 2011,39,"5,389,800","138,200","130,000",332,8.3
3,Apr 2011,38,"4,971,840","130,838","92,500",357,9.1
4,May 2011,51,"5,788,425","113,499","95,000",360,9.1
5,Jun 2011,56,"6,888,655","123,012","100,000",368,9.3
6,Jul 2011,43,"6,259,397","145,567","120,000",353,8.9
7,Aug 2011,61,"8,162,229","133,807","117,000",339,8.2
8,Sep 2011,62,"7,689,250","124,020","110,000",349,8.0
9,Oct 2011,38,"4,675,044","123,027","87,500",339,7.7
10,Nov 2011,38,"4,719,082","124,186","113,750",338,7.8
11,Dec 2011,30,"3,875,100","129,170","114,750",313,7.4
12,Jan 2012,27,"3,672,700","136,026","115,000",325,7.6
13,Feb 2012,34,"4,497,742","132,287","104,000",354,8.2
14,Mar 2012,51,"7,495,755","146,976","115,000",353,8.0
15,Apr 2012,41,"5,572,976","135,926","117,000",357,8.1
16,May 2012,51,"7,187,050","140,923","125,000",357,8.1
17,Jun 2012,54,"7,774,205","143,967","128,500",374,8.5
18,Jul 2012,46,"5,904,600","128,361","125,500",388,8.7
19,Aug 2012,55,"8,081,479","146,936","140,050",382,8.7
20,Sep 2012,57,"7,690,850","134,927","126,750",389,8.9
21,Oct 2012,37,"4,699,949","127,026","107,500",357,8.2
22,Nov 2012,32,"4,271,779","133,493","135,000",354,8.2
23,Dec 2012,40,"5,608,090","140,202","120,750",347,7.9
24,Jan 2013,33,"4,424,325","134,070","105,000",341,7.7
25,Feb 2013,31,"4,203,900","135,610","105,000",357,8.1
26,Mar 2013,43,"6,860,400","159,544","154,500",356,8.2
27,Apr 2013,65,"10,294,801","158,382","142,000",344,7.6
28,May 2013,56,"8,107,923","144,784","105,000",356,7.8
29,Jun 2013,52,"6,406,785","123,207","120,450",379,8.3
30,Jul 2013,52,"9,141,934","175,806","160,000",375,8.1
31,Aug 2013,52,"7,435,749","142,995","107,100",392,8.6
32,Sep 2013,44,"5,590,900","127,066","108,000",378,8.4
33,Oct 2013,44,"6,891,500","156,625","140,250",389,8.6
34,Nov 2013,45,"5,948,475","132,188","110,000",382,8.2
35,Dec 2013,47,"7,519,019","159,979","120,000",352,7.5
36,Jan 2014,35,"4,268,302","121,951","116,000",361,7.7
37,Feb 2014,33,"3,663,300","111,009","84,000",381,8.0
38,Mar 2014,46,"7,245,650","157,514","137,750",395,8.3
39,Apr 2014,56,"7,886,321","140,827","122,450",415,8.9
40,May 2014,55,"7,581,900","137,853","123,250",433,9.3
41,Jun 2014,62,"10,473,368","168,925","151,250",433,9.1
42,Jul 2014,55,"8,773,824","159,524","139,000",431,9.0
43,Aug 2014,51,"8,691,550","170,423","150,000",430,9.0
44,Sep 2014,66,"8,943,160","135,502","129,450",424,8.6
45,Oct 2014,62,"10,190,050","164,356","155,950",395,7.7
46,Nov 2014,51,"7,218,438","141,538","125,000",394,7.6
47,Dec 2014,54,"8,415,800","155,848","150,250",351,6.7
48,Jan 2015,33,"5,204,850","157,723","125,000",350,6.7
49,Feb 2015,45,"5,385,148","119,670","105,000",337,6.4
50,Mar 2015,45,"7,463,585","165,857","155,000",344,6.5
51,Apr 2015,57,"9,669,268","169,636","154,872",345,6.5
52,May 2015,49,"7,180,336","146,537","137,000",335,6.4
53,Jun 2015,64,"10,531,345","164,552","152,500",342,6.5
54,Jul 2015,79,"14,181,864","179,517","140,000",338,6.2
55,Aug 2015,56,"8,156,641","145,654","139,950",342,6.2
56,Sep 2015,53,"8,632,914","162,885","159,000",349,6.5
57,Oct 2015,41,"5,381,663","131,260","107,928",359,6.9
58,Nov 2015,33,"4,132,500","125,227","128,500",361,7.1
59,Dec 2015,44,"7,273,333","165,303","117,750",351,7.0
60,Jan 2016,35,"4,645,505","132,729","130,000",360,7.2
61,Feb 2016,44,"6,101,215","138,664","120,925",346,6.9
62,Mar 2016,72,"10,182,280","141,421","119,000",334,6.4
63,Apr 2016,64,"10,879,650","169,995","144,325",324,6.1
64,May 2016,58,"10,173,900","175,412","158,000",350,6.5
65,Jun 2016,65,"12,048,495","185,361","183,000",342,6.4
66,Jul 2016,61,"10,304,114","168,920","156,000",350,6.7
67,Aug 2016,57,"9,201,540","161,431","120,000",351,6.7
68,Sep 2016,55,"8,164,898","148,453","139,000",343,6.5
69,Oct 2016,51,"7,521,350","147,477","133,000",335,6.3
70,Nov 2016,56,"8,032,245","143,433","149,000",331,6.0
71,Dec 2016,44,"6,887,877","156,543","143,000",305,5.5
72,Jan 2017,40,"7,132,225","178,306","175,000",301,5.4
73,Feb 2017,53,"9,464,104","178,568","139,000",296,5.3
74,Mar 2017,70,"11,233,100","160,473","157,500",315,5.6
75,Apr 2017,52,"8,627,360","165,911","143,450",315,5.7
76,May 2017,57,"8,835,510","155,009","150,000",327,5.9
77,Jun 2017,78,"15,104,850","193,652","157,750",318,5.7
78,Jul 2017,58,"8,723,976","150,413","136,000",301,5.4
79,Aug 2017,74,"11,259,101","152,150","147,000",301,5.2
80,Sep 2017,71,"11,583,210","163,144","145,000",317,5.4
81,Oct 2017,52,"7,894,245","151,812","130,500",333,5.7
82,Nov 2017,60,"10,482,813","174,714","170,000",317,5.4
83,Dec 2017,51,"8,487,121","166,414","149,921",291,4.9
84,Jan 2018,34,"5,581,163","164,152","154,704",311,5.3
85,Feb 2018,41,"6,826,225","166,493","145,000",307,5.3
86,Mar 2018,41,"7,563,600","184,478","155,000",299,5.4
87,Apr 2018,90,"15,312,334","170,137","139,500",277,4.7
88,May 2018,81,"13,920,231","171,855","147,900",310,5.1
89,Jun 2018,62,"10,361,272","167,117","149,825",317,5.3
90,Jul 2018,74,"13,392,675","180,982","160,600",318,5.2
91,Aug 2018,73,"12,819,741","175,613","156,000",292,4.8
92,Sep 2018,67,"11,934,795","178,131","172,500",285,4.7
93,Oct 2018,80,"14,230,041","177,876","187,000",282,4.5
94,Nov 2018,49,"8,831,483","180,234","165,000",263,4.2
95,Dec 2018,50,"9,819,992","196,400","175,000",242,3.9
96,Jan 2019,51,"10,425,725","204,426","168,000",245,3.9
97,Feb 2019,47,"9,566,213","203,536","150,000",242,3.8
98,Mar 2019,62,"10,517,025","169,629","145,625",255,3.9
99,Apr 2019,56,"9,074,455","162,044","162,250",268,4.3
100,May 2019,83,"14,200,948","171,096","147,900",284,4.5
101,Jun 2019,57,"9,958,685","174,714","169,900",286,4.6
102,Jul 2019,84,"16,241,371","193,350","188,000",271,4.3
103,Aug 2019,85,"17,893,350","210,510","208,000",261,4.1
104,Sep 2019,63,"11,046,123","175,335","164,950",258,4.0
105,Oct 2019,99,"17,793,789","179,735","175,900",253,3.9
106,Nov 2019,60,"10,592,175","176,536","156,950",258,3.9
107,Dec 2019,48,"9,503,825","197,996","185,000",230,3.5
108,Jan 2020,54,"9,588,545","177,566","161,500",257,3.9
109,Feb 2020,50,"8,455,325","169,106","160,000",269,4.0
110,Mar 2020,70,"12,841,859","183,455","167,000",273,4.0
111,Apr 2020,38,"5,942,507","156,382","165,000",280,4.2
